   # SYM binstart            G            K             HS          f
  50 ---    9.600 -6.66134e-016       0.0001              0          0
  51 ---   10.000 -6.66134e-016       0.0001              0          0
  52 ---   10.400 -6.66134e-016       0.0001              0          0
  53 ---   10.800 -6.66134e-016       0.0001              0          0
  54 ---   11.200 -6.66134e-016       0.0001              0          0
  55 ---   11.600 -6.66134e-016       0.0001              0          0
  56 ---   12.000 -6.66134e-016       0.0001              0          0
  57 ---   12.400 -6.66134e-016       0.0001              0          0
  58 ---   12.800 -6.66134e-016       0.0001              0          0
  59 ---   13.200 -6.66134e-016       0.0001              0          0
  60 ---   13.600 -6.66134e-016       0.0001              0          0
  61 ---   14.000 -6.66134e-016       0.0001              0          0
  62 ---   14.400 -6.66134e-016       0.0001              0          0
  63 ---   14.800 -6.66134e-016       0.0001              0          0
  64 ---   15.200 -6.66134e-016       0.0001              0          0
  65 ---   15.600 -6.66134e-016       0.0001              0          0
  66 ---   16.000 -6.66134e-016       0.0001              0          0
  67 ---   16.400 -6.66134e-016       0.0001              0          0
  68 ---   16.800 -6.66134e-016       0.0001              0          0
  69 ---   17.200 -6.66134e-016       0.0001              0          0
  70 ---   17.600 -6.66134e-016       0.0001              0          0
  71 ---   18.000 -6.66134e-016       0.0001              0          0
  72 ---   18.400 -6.66134e-016       0.0001              0          0
  73 ---   18.800 -6.66134e-016       0.0001              0          0
  74 ---   19.200 -6.66134e-016       0.0001              0          0
  75 ---   19.600 -6.66134e-016       0.0001              0          0
  76 ---   20.000 -6.66134e-016       0.0001              0          0
  77 ---   20.400 -6.66134e-016       0.0001              0          0
  78 ---   20.800 -6.66134e-016       0.0001              0          0
  79 ---   21.200 -6.66134e-016       0.0001              0          0
  80 ---   21.600 -6.66134e-016       0.0001              0          0
  81 ---   22.000 -6.66134e-016       0.0001              0          0
  82 ---   22.400 -6.66134e-016       0.0001              0          0
  83 ---   22.800 -6.66134e-016       0.0001              0          0
  84 ---   23.200 -6.66134e-016       0.0001              0          0
  85 ---   23.600 -6.66134e-016       0.0001              0          0
  86 ---   24.000 -6.66134e-016       0.0001              0          0
  87 ---   24.400 -6.66134e-016       0.0001              0          0
  88 ---   24.800 -6.66134e-016       0.0001              0          0
  89 ---   25.200 -6.66134e-016       0.0001              0          0
  90 ---   25.600 -6.66134e-016       0.0001              0          0
  91 ---   26.000 -6.66134e-016       0.0001              0          0
  92 ---   26.400 -6.66134e-016       0.0001              0          0
  93 ---   26.800 -6.66134e-016       0.0001              0          0
  94 ---   27.200 -6.66134e-016       0.0001              0          0
  95 ---   27.600 -6.66134e-016       0.0001              0          0
  96 ---   28.000 -6.66134e-016       0.0001              0          0
  97 ---   28.400 -6.66134e-016       0.0001              0          0
  98 ---   28.800 -6.66134e-016       0.0001              0          0
  99 ---   29.200 -6.66134e-016       0.0001              0          0
 100 ---   29.600 -6.66134e-016       0.0001              0          0
 101 POS   30.000 -6.66134e-016       0.0001              0          0
---Column end---
binstart -10
binend 30
binnum 100
counter 90000
HHR 100000
